dauid,Neighbor_dauid
35061341,35060145
35060170,35060145
35060148,35060145
35061339,35060145
35060146,35060145
35060155,35060145
35060135,35060145
35060143,35060145
35060144,35060145
35060148,35060146
35060145,35060146
35060147,35060146
35060153,35060146
35060155,35060146
35060149,35060147
35060148,35060147
35060146,35060147
35060153,35060147
35060165,35060148
35060164,35060148
35060170,35060148
35060149,35060148
35061339,35060148
35060145,35060148
35060146,35060148
35060147,35060148
35060164,35060149
35060163,35060149
35060148,35060149
35060151,35060149
35060150,35060149
35060152,35060149
35060147,35060149
35060153,35060149
35060149,35060150
35060151,35060150
35060152,35060150
35060159,35060151
35061338,35060151
35060163,35060151
35060149,35060151
35061336,35060151
35061335,35060151
35060150,35060151
35060152,35060151
35060159,35060152
35060149,35060152
35060151,35060152
35060150,35060152
35060153,35060152
35060157,35060153
35060159,35060153
35060149,35060153
35061335,35060153
35060152,35060153
35060146,35060153
35060147,35060153
35060154,35060153
35060155,35060153
35060156,35060153
35060153,35060154
35060155,35060154
35060156,35060154
35060145,35060155
35060146,35060155
35060153,35060155
35060154,35060155
35060156,35060155
35060140,35060155
35060143,35060155
35060157,35060156
35060153,35060156
35060154,35060156
35060155,35060156
35060138,35060156
35060140,35060156
35060159,35060157
35061338,35060157
35061335,35060157
35060153,35060157
35061334,35060157
35060156,35060157
35060135,35060157
35060138,35060157
35060157,35060159
35060151,35060159
35061336,35060159
35061335,35060159
35060152,35060159
35060153,35060159
35061338,35060163
35060164,35060163
35060149,35060163
35060151,35060163
35060292,35060286
35060288,35060286
35060287,35060286
35060285,35060286
35060283,35060286
35060282,35060286
35061633,35060286
35061284,35060286
35060280,35060286
35060972,35060286
35061042,35060286
35060286,35060287
35060288,35060287
35060285,35060287
35061627,35060287
35060292,35060288
35060291,35060288
35060290,35060288
35060286,35060288
35060287,35060288
35060289,35060288
35061627,35060288
35060290,35060289
35060294,35060289
35060288,35060289
35060295,35060289
35060305,35060289
35061627,35060289
35060292,35060290
35060291,35060290
35060294,35060290
35060288,35060290
35060289,35060290
35060293,35060290
35060292,35060291
35060290,35060291
35060288,35060291
35060673,35060672
35061160,35060672
35060671,35060672
35060670,35060672
35060672,35060673
35060670,35060673
35060668,35060673
35061501,35060673
35061502,35060673
35060688,35060678
35060685,35060678
35061496,35060678
35060681,35060678
35060680,35060678
35060679,35060678
35061851,35060678
35061852,35060678
35061304,35060678
35060700,35060679
35060711,35060679
35061496,35060679
35060678,35060679
35060681,35060679
35060680,35060679
35060682,35060679
35061572,35060679
35060678,35060680
35060681,35060680
35060679,35060680
35060577,35060575
35060576,35060575
35060573,35060575
35060574,35060575
35060577,35060576
35060575,35060576
35060573,35060576
35060574,35060576
35061486,35060576
35060578,35060577
35060576,35060577
35060575,35060577
35060573,35060577
35061391,35060577
35061486,35060577
35060577,35060578
35060579,35060578
35060573,35060578
35061391,35060578
35060578,35060579
35060573,35060579
35060580,35060579
35061391,35060579
35060499,35060579
35060579,35060580
35060573,35060580
35060509,35060580
35060507,35060580
35060511,35060580
35060499,35060580
35060508,35060580
35060624,35060582
35061323,35060582
35061391,35060582
35061214,35060582
35060499,35060582
35061323,35060585
35060625,35060585
35060623,35060585
35061288,35060585
35061323,35060588
35061268,35060588
35061294,35060588
35061208,35060588
35060623,35060588
35061288,35060588
35060495,35060588
35060673,35060670
35060672,35060670
35060671,35060670
35060668,35060670
35060669,35060670
35061268,35060590
35061208,35060590
35060594,35060590
35060602,35060590
35060597,35060590
35061254,35060590
35061209,35060590
35060594,35060592
35061254,35060592
35060593,35060592
35060594,35060593
35061254,35060593
35060595,35060593
35060592,35060593
35061208,35060594
35060482,35060594
35060480,35060594
35060481,35060594
35061254,35060594
35060595,35060594
35060592,35060594
35060593,35060594
35060483,35060594
35060484,35060594
35060590,35060594
35060594,35060595
35061646,35060595
35060480,35060595
35060598,35060595
35060597,35060595
35061254,35060595
35060599,35060595
35060593,35060595
35061387,35060595
35060602,35060597
35060598,35060597
35061254,35060597
35060595,35060597
35060599,35060597
35060590,35060597
35060600,35060598
35060602,35060598
35060597,35060598
35060595,35060598
35060599,35060598
35060600,35060599
35060598,35060599
35060597,35060599
35060595,35060599
35061387,35060599
35061386,35060599
35061268,35060600
35060603,35060600
35060602,35060600
35060598,35060600
35060599,35060600
35061386,35060600
35061268,35060602
35060600,35060602
35060598,35060602
35060597,35060602
35061254,35060602
35060590,35060602
35061268,35060603
35060600,35060603
35061268,35060604
35060623,35060604
35060605,35060604
35060622,35060604
35060606,35060604
35061386,35060604
35060623,35060605
35060613,35060605
35060611,35060605
35060612,35060605
35060606,35060605
35060604,35060605
35061386,35060605
35060605,35060606
35060612,35060606
35060608,35060606
35060607,35060606
35060622,35060606
35060604,35060606
35060609,35060607
35060610,35060607
35060612,35060607
35060608,35060607
35060606,35060607
35060672,35060671
35061160,35060671
35060670,35060671
35061161,35060671
35060669,35060671
35060924,35060938
35060942,35060938
35060926,35060938
35060925,35060938
35060939,35060938
35060955,35060938
35060956,35060938
35060934,35060938
35060935,35060938
35061251,35060938
35061295,35060938
35061482,35060938
35061520,35060938
35060089,35060938
35061522,35060938
35061247,35060938
35060938,35060939
35060942,35060939
35060941,35060939
35060940,35060939
35060953,35060939
35060955,35060939
35060939,35060940
35060941,35060940
35060942,35060941
35060939,35060941
35060940,35060941
35060954,35060941
35060953,35060941
35061247,35060941
35060938,35060942
35060939,35060942
35060941,35060942
35061520,35060942
35060944,35060942
35061522,35060942
35061247,35060942
35060942,35060944
35061482,35060944
35060860,35060944
35061315,35060944
35061580,35060944
35061579,35060944
35060945,35060944
35061522,35060944
35061247,35060944
35061580,35060945
35061579,35060945
35060944,35060945
35061522,35060945
35060939,35060953
35060941,35060953
35060954,35060953
35060955,35060953
35061247,35060953
35060941,35060954
35060953,35060954
35061247,35060954
35060938,35060955
35060939,35060955
35060953,35060955
35060956,35060955
35061247,35060955
35061874,35060568
35060569,35060568
35060567,35060568
35061874,35060569
35060568,35060569
35060567,35060569
35060560,35060569
35061488,35060569
35061487,35060569
35061840,35060569
35061839,35060569
35060547,35060569
35061249,35060569
35060577,35060573
35060578,35060573
35060579,35060573
35060576,35060573
35060575,35060573
35060580,35060573
35060574,35060573
35060544,35060573
35060511,35060573
35060512,35060573
35060514,35060573
35061487,35060573
35061732,35060573
35061486,35060573
35061840,35060573
35060843,35060838
35060833,35060838
35060834,35060838
35060836,35060838
35060837,35060838
35061680,35060838
35060841,35060840
35060842,35060840
35060834,35060840
35060836,35060840
35061680,35060840
35061584,35060840
35061476,35060841
35061432,35060841
35060840,35060841
35060842,35060841
35060834,35060841
35061680,35060841
35061584,35060841
35060841,35060842
35060840,35060842
35060834,35060842
35061129,35060843
35061126,35060843
35061127,35060843
35060844,35060843
35060838,35060843
35061128,35060843
35060833,35060843
35061142,35060843
35061680,35060843
35060843,35060844
35061472,35060844
35061125,35060844
35061126,35060844
35061471,35060844
35060845,35060844
35060833,35060844
35061472,35060845
35060844,35060845
35061471,35060845
35060833,35060845
35061482,35060860
35060861,35060860
35060862,35060860
35061315,35060860
35060944,35060860
35061247,35060860
35061482,35060861
35060823,35060861
35060890,35060861
35061264,35060861
35060889,35060861
35060862,35060861
35060860,35060861
35061264,35060862
35060861,35060862
35060885,35060862
35060860,35060862
35061315,35060862
35061315,35060864
35061317,35060864
35060866,35060864
35060865,35060864
35061580,35060864
35060866,35060865
35060867,35060865
35060864,35060865
35061524,35060865
35061580,35060865
35061579,35060865
35061533,35060866
35060871,35060866
35061317,35060866
35060870,35060866
35060868,35060866
35060867,35060866
35060864,35060866
35060865,35060866
35060870,35060867
35060866,35060867
35060868,35060867
35061524,35060867
35060865,35060867
35061257,35061186
35061185,35061186
35060439,35061186
35060435,35061186
35060436,35061186
35060938,35060956
35060955,35060956
35060924,35060957
35060916,35060957
35060918,35060957
35060921,35060957
35061291,35060957
35060961,35060957
35061292,35060957
35061293,35060957
35060957,35060961
35060914,35060961
35061291,35060961
35060911,35060961
35060912,35060961
35061033,35060961
35061828,35060961
35061829,35060961
35061292,35060961
35061293,35060961
35060970,35060968
35061827,35060968
35061828,35060968
35061293,35060968
35060781,35061159
35060786,35061159
35061270,35061159
35061158,35061159
35060790,35061159
35060789,35061159
35060672,35061160
35060671,35061160
35061161,35061160
35061507,35061160
35061508,35061160
35061160,35061161
35060671,35061161
35060669,35061161
35061505,35061161
35061507,35061161
35061197,35061171
35060645,35061171
35061256,35061171
35061193,35061174
35060645,35061174
35061189,35061174
35061256,35061174
35061180,35061174
35061192,35061174
35061285,35061174
35061175,35061174
35061189,35061175
35061174,35061175
35061179,35061175
35061180,35061175
35061192,35061175
35061285,35061175
35061179,35061178
35060444,35061178
35061192,35061178
35060446,35061178
35061285,35061178
35061279,35061179
35061180,35061179
35060444,35061179
35061181,35061179
35061178,35061179
35061285,35061179
35061175,35061179
35061189,35061180
35061190,35061180
35061174,35061180
35061191,35061180
35061179,35061180
35061184,35061180
35061188,35061180
35061181,35061180
35061175,35061180
35061279,35061181
35061179,35061181
35061184,35061181
35061180,35061181
35061182,35061181
35061279,35061182
35061183,35061182
35061184,35061182
35061181,35061182
35061279,35061183
35060440,35061183
35061185,35061183
35061184,35061183
35061182,35061183
35061191,35061184
35061257,35061184
35061183,35061184
35061185,35061184
35061180,35061184
35061188,35061184
35061181,35061184
35061182,35061184
35061257,35061185
35061183,35061185
35060440,35061185
35061186,35061185
35060439,35061185
35061184,35061185
35061189,35061188
35061191,35061188
35061257,35061188
35061184,35061188
35061180,35061188
35060645,35061189
35061190,35061189
35061174,35061189
35061191,35061189
35061256,35061189
35061257,35061189
35061180,35061189
35061188,35061189
35061175,35061189
35061189,35061190
35061191,35061190
35061180,35061190
35061189,35061191
35061190,35061191
35061184,35061191
35061180,35061191
35061188,35061191
35060480,35061192
35061643,35061192
35060475,35061192
35061193,35061192
35061174,35061192
35061256,35061192
35060444,35061192
35060447,35061192
35061178,35061192
35060446,35061192
35061285,35061192
35061175,35061192
35061643,35061193
35061194,35061193
35061195,35061193
35061174,35061193
35061256,35061193
35061192,35061193
35061643,35061194
