DAuid,DApop_2016,DAtdwell_2016,DAurdwell_2016,DAarea,CSDcode
35060001,496,180,174,6.538,008
35060002,622,227,216,3.8139,008
35060003,900,289,287,2.2872,008
35060005,888,312,304,15.34,008
35060006,1195,507,479,8.2476,008
35060007,871,287,284,33.425,008
35060010,309,103,103,0.0733,008
35060011,592,187,186,0.2081,008
35060012,585,190,189,0.1068,008
35060014,656,351,349,0.2969,008
35060015,522,212,212,0.1897,008
35060016,400,152,150,0.1106,008
35060017,490,189,189,0.149,008
35060018,424,157,157,0.1286,008
35060019,551,201,199,0.1597,008
35060020,466,163,162,0.0906,008
35060021,612,192,189,0.203,008
35060022,578,201,199,0.3066,008
35060023,468,170,170,0.103,008
35060024,277,94,94,0.0685,008
35060025,839,290,289,0.2278,008
35060026,288,88,88,0.0774,008
35060027,777,267,267,0.2164,008
35060028,335,103,103,0.0815,008
35060029,1703,576,576,0.3885,008
35060030,312,110,109,0.049,008
35060031,638,219,217,0.1638,008
35060032,767,290,289,0.098,008
35060033,413,130,130,0.1331,008
35060034,408,134,133,0.0855,008
35060035,437,159,158,0.0879,008
35060036,545,177,177,0.2055,008
35060037,519,175,175,0.1147,008
35060038,410,148,148,0.0847,008
35060039,766,275,266,0.1277,008
35060043,817,278,278,0.7702,008
35060044,387,120,119,0.0868,008
35060045,553,238,238,0.5706,008
35060047,204,74,73,0.1106,008
35060048,337,130,130,0.0991,008
35060049,445,167,166,0.1302,008
35060050,282,109,109,0.0643,008
35060051,694,253,245,0.2464,008
35060052,683,474,438,0.499,008
35060053,742,270,270,0.2155,008
35060054,570,228,225,0.2701,008
35060055,425,179,179,0.1447,008
35060056,315,132,131,0.1043,008
35060057,586,220,219,0.3301,008
35060058,353,137,137,0.0976,008
35060059,491,188,188,0.2167,008
35060061,448,172,171,0.1406,008
35060062,561,214,214,0.1516,008
35060064,410,180,178,0.0645,008
35060065,305,120,119,0.0528,008
35060066,314,98,98,0.0679,008
35060067,268,86,85,0.0556,008
35060069,699,264,263,0.179,008
35060070,669,258,254,0.2027,008
35060071,634,236,231,0.1517,008
35060072,309,113,112,0.0646,008
35060073,328,119,119,0.2079,008
35060074,486,184,183,0.1044,008
35060075,654,263,258,0.1446,008
35060076,401,150,147,0.0635,008
35060078,471,166,164,0.1729,008
35060079,567,176,173,0.0643,008
35060080,425,145,145,0.1355,008
35060081,483,224,223,0.0677,008
35060082,564,259,255,0.1216,008
35060083,1083,426,421,0.1791,008
35060089,527,210,205,59.3573,008
35060090,548,193,192,0.1586,008
35060091,359,120,120,0.1142,008
35060092,592,197,197,0.1301,008
