DBuid,DBpop_2016,DBtdwell_2016,DBurdwell_2016,DBarea,DBir_2016,DAcode,CSDcode
35060001001,99,40,38,3.4777,0,0001,008
35060001002,20,16,14,0.5723,0,0001,008
35060001003,201,72,71,1.7516,0,0001,008
35060001004,21,4,4,0.0664,0,0001,008
35060001005,155,48,47,0.67,0,0001,008
35060002001,69,27,24,0.274,0,0002,008
35060002002,33,12,12,0.0488,0,0002,008
35060002003,44,14,13,0.0412,0,0002,008
35060002004,37,13,13,0.0388,0,0002,008
35060002005,16,7,7,0.029,0,0002,008
35060002006,342,119,114,3.2771,0,0002,008
35060002007,26,9,9,0.036,0,0002,008
35060002008,5,3,3,0.0161,0,0002,008
35060002009,0,1,1,0.0133,0,0002,008
35060002010,10,4,4,0.011,0,0002,008
35060002011,15,5,5,0.0066,0,0002,008
35060002012,5,4,3,0.0057,0,0002,008
35060002015,10,6,5,0.0098,0,0002,008
35060002016,10,3,3,0.0065,0,0002,008
35060003001,33,11,11,0.0436,0,0003,008
35060003002,67,25,25,0.1627,0,0003,008
35060003003,43,14,14,0.0589,0,0003,008
35060003004,36,12,12,0.0438,0,0003,008
35060003005,521,163,161,1.7651,0,0003,008
35060003006,90,30,30,0.0866,0,0003,008
35060003007,110,34,34,0.1265,0,0003,008
35060005001,24,10,10,0.1,0,0005,008
35060005002,21,8,8,0.1022,0,0005,008
35060005003,41,13,12,0.181,0,0005,008
35060005006,5,3,3,0.0465,0,0005,008
35060005007,29,12,12,0.1619,0,0005,008
35060005009,53,16,16,3.3125,0,0005,008
35060005010,32,11,10,0.1038,0,0005,008
35060005011,29,9,9,0.1018,0,0005,008
35060005012,20,6,6,0.0585,0,0005,008
35060005013,15,6,6,0.0682,0,0005,008
35060005014,17,4,4,0.0555,0,0005,008
35060005015,98,33,32,3.974,0,0005,008
35060005016,339,114,112,1.6578,0,0005,008
35060005017,53,19,19,0.1487,0,0005,008
35060005018,112,48,45,5.2676,0,0005,008
35060006001,5,4,4,0.0161,0,0006,008
35060006005,25,10,10,0.0227,0,0006,008
35060006007,81,30,29,0.2608,0,0006,008
35060006008,23,7,7,0.074,0,0006,008
35060006012,17,8,8,0.011,0,0006,008
35060006013,20,8,8,0.018,0,0006,008
35060006015,0,0,0,0.0276,0,0006,008
35060006016,5,3,3,0.0123,0,0006,008
35060006018,15,7,6,0.0141,0,0006,008
35060006021,38,16,16,0.0339,0,0006,008
35060006023,76,33,32,2.0925,0,0006,008
35060006025,108,45,44,0.6858,0,0006,008
35060006026,56,20,18,0.0998,0,0006,008
35060006027,0,0,0,0.0027,0,0006,008
35060006029,226,93,88,2.6053,0,0006,008
35060006030,0,0,0,0.2415,0,0006,008
35060006031,0,0,0,0,0,0006,008
35060006032,0,0,0,0,0,0006,008
35060006033,74,38,34,0.2061,0,0006,008
35060006034,53,21,21,0.1341,0,0006,008
35060006035,0,0,0,0,0,0006,008
35060006036,62,26,26,0.043,0,0006,008
35060006037,0,0,0,0,0,0006,008
35060006038,51,25,24,0.0099,0,0006,008
35060006039,36,18,18,0.0102,0,0006,008
35060006040,0,0,0,0.0176,0,0006,008
35060006041,224,95,83,1.6086,0,0006,008
35060007001,168,59,59,4.7372,0,0007,008
35060007002,84,20,20,0.1766,0,0007,008
35060007003,94,32,31,3.4259,0,0007,008
35060007004,39,15,14,5.0374,0,0007,008
35060007005,18,5,5,1.6715,0,0007,008
35060007007,37,13,13,3.7913,0,0007,008
35060007010,24,7,7,0.0227,0,0007,008
35060007011,39,12,12,0.0362,0,0007,008
35060007013,38,12,12,0.033,0,0007,008
35060007014,81,25,25,0.109,0,0007,008
35060007017,16,7,7,2.5763,0,0007,008
35060007021,53,20,20,7.5998,0,0007,008
35060007022,180,60,59,4.2081,0,0007,008
35060010001,69,23,23,0.0168,0,0010,008
35060010002,135,46,46,0.0326,0,0010,008
35060010003,105,34,34,0.0239,0,0010,008
35060011001,105,33,33,0.0189,0,0011,008
35060011002,131,38,37,0.0274,0,0011,008
35060011003,356,116,116,0.1618,0,0011,008
35060012001,109,36,36,0.0195,0,0012,008
35060012002,360,120,120,0.0719,0,0012,008
35060012003,116,34,33,0.0154,0,0012,008
35060014001,64,36,36,0.011,0,0014,008
35060014002,85,55,55,0.0088,0,0014,008
35060014003,37,26,25,0.0111,0,0014,008
35060014004,96,56,56,0.0126,0,0014,008
35060014007,10,6,6,0.0032,0,0014,008
35060014008,364,172,171,0.2502,0,0014,008
35060015001,66,30,30,0.025,0,0015,008
35060015003,37,16,16,0.0108,0,0015,008
35060015004,50,20,20,0.0169,0,0015,008
35060015009,369,146,146,0.137,0,0015,008
35060016001,53,20,20,0.0166,0,0016,008
35060016002,50,20,20,0.0163,0,0016,008
35060016003,50,21,21,0.0176,0,0016,008
35060016004,57,20,20,0.0175,0,0016,008
35060016005,190,71,69,0.0426,0,0016,008
35060017001,106,39,39,0.0329,0,0017,008
35060017002,92,36,36,0.0293,0,0017,008
35060017003,66,27,27,0.0222,0,0017,008
35060017004,88,38,38,0.0299,0,0017,008
35060017005,138,49,49,0.0347,0,0017,008
35060018001,47,19,19,0.012,0,0018,008
